source,site_id,site_name,basin,usgs_site_no,notes
dwr_cdss,DOLRICCO,"DOLORES RIVER BELOW RICO, CO.",Dolores-San Miguel,09165000,DWR surface-water station; re-serves USGS 09165000
dwr_cdss,DOLBEDCO,"DOLORES RIVER AT BEDROCK, CO",Dolores-San Miguel,09169500,DWR surface-water station; re-serves USGS 09169500
dwr_cdss,SMGPLACO,"SAN MIGUEL RIVER NEAR PLACERVILLE, CO",Dolores-San Miguel,09172500,DWR surface-water station; re-serves USGS 09172500
dwr_cdss,SANPAGCO,"SAN JUAN RIVER AT PAGOSA SPRINGS, CO",San Juan,09342500,DWR surface-water station; re-serves USGS 09342500
dwr_cdss,ANIDURCO,"ANIMAS RIVER AT DURANGO, CO",San Juan,09361500,DWR surface-water station; re-serves USGS 09361500
dwr_cdss,WHIMEECO,"WHITE RIVER NEAR MEEKER, CO.",White,09304500,DWR surface-water station; re-serves USGS 09304500
dwr_cdss,YAMSTECO,"YAMPA RIVER AT STEAMBOAT SPRINGS, CO",Yampa-Green,09239500,DWR surface-water station; re-serves USGS 09239500
dwr_cdss,YAMAYBCO,"YAMPA RIVER NEAR MAYBELL, CO",Yampa-Green,09251000,DWR surface-water station; re-serves USGS 09251000
dwr_cdss,LSRLILCO,"LITTLE SNAKE RIVER NEAR LILY, CO",Yampa-Green,09260000,DWR surface-water station; re-serves USGS 09260000
dwr_cdss,RIODELCO,"RIO GRANDE NEAR DEL NORTE, CO",Rio Grande,08220000,DWR surface-water station; re-serves USGS 08220000
dwr_cdss,RIOLOBCO,RIO GRANDE NEAR LOBATOS,Rio Grande,08251500,DWR surface-water station; re-serves USGS 08251500
dwr_cdss,CONMOGCO,"CONEJOS RIVER NEAR MOGOTE, CO.",Rio Grande,08246500,DWR surface-water station; re-serves USGS 08246500
dwr_cdss,PLADENCO,SOUTH PLATTE RIVER AT DENVER,South Platte,06714000,DWR surface-water station; re-serves USGS 06714000
dwr_cdss,PLAKERCO,"SOUTH PLATTE RIVER NEAR KERSEY, CO",South Platte,06754000,DWR surface-water station; re-serves USGS 06754000
dwr_cdss,PLAJUCCO,SOUTH PLATTE RIVER AT JULESBURG (COMBINED),South Platte,06764000,DWR surface-water station; re-serves USGS 06764000
dwr_cdss,CLAFTCCO,CACHE LA POUDRE AT CANYON MOUTH NEAR FORT COLLINS,South Platte,06752000,DWR surface-water station; re-serves USGS 06752000
dwr_cdss,BTCANYCO,BIG THOMPSON RIVER AT MOUTH OF CANYON NEAR DRAKE,South Platte,06738000,DWR surface-water station; re-serves USGS 06738000
dwr_cdss,ARKNATCO,"ARKANSAS RIVER NEAR NATHROP, CO",Arkansas,07091200,DWR surface-water station; re-serves USGS 07091200
dwr_cdss,ARKPARCO,"ARKANSAS RIVER AT PARKDALE, CO.",Arkansas,07094500,DWR surface-water station; re-serves USGS 07094500
dwr_cdss,ARKMOFCO,"ARKANSAS RIVER AT MOFFAT STREET AT PUEBLO, CO",Arkansas,07099970,DWR surface-water station; re-serves USGS 07099970
dwr_cdss,ARKLASCO,"ARKANSAS RIVER AT LAS ANIMAS, CO.",Arkansas,07124000,DWR surface-water station; re-serves USGS 07124000
dwr_cdss,FOUPUECO,"FOUNTAIN CREEK AT PUEBLO, CO.",Arkansas,07106500,DWR surface-water station; re-serves USGS 07106500
